trajectory_id,site_id,site_label,mode,count,direction,lane,timestamp,longitude,latitude,hour,weekday,date,mode_clean,arrondissement,arrondissement_full
10022_4 -> 3,10022,CF0892_65 rue de Rivoli (Bourdonnais),"Véhicules légers < 3,5t",2,O-E,Piste cyclable,2021-02-23 14:00:00+00:00,2.344817,48.859617,14,Tuesday,2021-02-23,"Véhicules légers < 3,5t",1,75001
10022_1 -> 1,10022,CF0892_65 rue de Rivoli (Bourdonnais),Trottinettes + vélos,6,E-O,Voie de circulation générale,2021-02-23 18:00:00+00:00,2.344817,48.859617,18,Tuesday,2021-02-23,Mixed,1,75001
10022_4 -> 3,10022,CF0892_65 rue de Rivoli (Bourdonnais),Trottinettes + vélos,540,O-E,Piste cyclable,2021-02-23 18:00:00+00:00,2.344817,48.859617,18,Tuesday,2021-02-23,Mixed,1,75001
10022_1 -> 1,10022,CF0892_65 rue de Rivoli (Bourdonnais),2 roues motorisées,1,E-O,Voie de circulation générale,2021-02-23 22:00:00+00:00,2.344817,48.859617,22,Tuesday,2021-02-23,Motorcycles,1,75001
10023_5 -> 1,10023,CF0318_29 rue de Rivoli (Lobau),2 roues motorisées,1,E-O,Voie de circulation générale,2021-02-22 23:00:00+00:00,2.353837,48.856949,23,Monday,2021-02-22,Motorcycles,3,75003
10023_4 -> 1,10023,CF0318_29 rue de Rivoli (Lobau),"Véhicules légers < 3,5t",2,E-O,Coronapiste,2021-02-23 03:00:00+00:00,2.353837,48.856949,3,Tuesday,2021-02-23,"Véhicules légers < 3,5t",3,75003
10023_4 -> 1,10023,CF0318_29 rue de Rivoli (Lobau),"Véhicules légers < 3,5t",17,E-O,Coronapiste,2021-02-23 04:00:00+00:00,2.353837,48.856949,4,Tuesday,2021-02-23,"Véhicules légers < 3,5t",3,75003
10023_4 -> 1,10023,CF0318_29 rue de Rivoli (Lobau),"Véhicules lourds > 3,5t",9,E-O,Coronapiste,2021-02-23 10:00:00+00:00,2.353837,48.856949,10,Tuesday,2021-02-23,Heavy Vehicles,3,75003
10023_2 -> 1,10023,CF0318_29 rue de Rivoli (Lobau),"Véhicules légers < 3,5t",1,E-O,Piste cyclable,2021-02-23 11:00:00+00:00,2.353837,48.856949,11,Tuesday,2021-02-23,"Véhicules légers < 3,5t",3,75003
10023_4 -> 1,10023,CF0318_29 rue de Rivoli (Lobau),Autobus et autocars,31,E-O,Coronapiste,2021-02-23 14:00:00+00:00,2.353837,48.856949,14,Tuesday,2021-02-23,Buses,3,75003
10023_2 -> 1,10023,CF0318_29 rue de Rivoli (Lobau),Trottinettes + vélos,97,E-O,Piste cyclable,2021-02-23 18:00:00+00:00,2.353837,48.856949,18,Tuesday,2021-02-23,Mixed,3,75003
10028_2 -> 1,10028,CF0004_29 boulevard Poissonnière (sens O-E),Trottinettes + vélos,4,O-E,Piste cyclable,2021-02-23 05:00:00+00:00,2.3418311,48.8714843,5,Tuesday,2021-02-23,Mixed,2,75002
10028_1 -> 1,10028,CF0004_29 boulevard Poissonnière (sens O-E),Trottinettes + vélos,4,O-E,Voie de circulation générale,2021-02-23 07:00:00+00:00,2.3418311,48.8714843,7,Tuesday,2021-02-23,Mixed,2,75002
10028_2 -> 1,10028,CF0004_29 boulevard Poissonnière (sens O-E),2 roues motorisées,1,O-E,Piste cyclable,2021-02-23 08:00:00+00:00,2.3418311,48.8714843,8,Tuesday,2021-02-23,Motorcycles,2,75002
10028_1 -> 1,10028,CF0004_29 boulevard Poissonnière (sens O-E),Trottinettes + vélos,4,O-E,Voie de circulation générale,2021-02-23 09:00:00+00:00,2.3418311,48.8714843,9,Tuesday,2021-02-23,Mixed,2,75002
10028_1 -> 1,10028,CF0004_29 boulevard Poissonnière (sens O-E),Autobus et autocars,24,O-E,Voie de circulation générale,2021-02-23 09:00:00+00:00,2.3418311,48.8714843,9,Tuesday,2021-02-23,Buses,2,75002
10028_2 -> 1,10028,CF0004_29 boulevard Poissonnière (sens O-E),Trottinettes + vélos,84,O-E,Piste cyclable,2021-02-23 13:00:00+00:00,2.3418311,48.8714843,13,Tuesday,2021-02-23,Mixed,2,75002
10028_1 -> 1,10028,CF0004_29 boulevard Poissonnière (sens O-E),2 roues motorisées,87,O-E,Voie de circulation générale,2021-02-23 14:00:00+00:00,2.3418311,48.8714843,14,Tuesday,2021-02-23,Motorcycles,2,75002
10028_2 -> 1,10028,CF0004_29 boulevard Poissonnière (sens O-E),2 roues motorisées,2,O-E,Piste cyclable,2021-02-23 14:00:00+00:00,2.3418311,48.8714843,14,Tuesday,2021-02-23,Motorcycles,2,75002
10028_1 -> 1,10028,CF0004_29 boulevard Poissonnière (sens O-E),Trottinettes + vélos,10,O-E,Voie de circulation générale,2021-02-23 17:00:00+00:00,2.3418311,48.8714843,17,Tuesday,2021-02-23,Mixed,2,75002
10029_1 -> 1,10029,CF0004_2 boulevard Montmartre (sens E-O),"Véhicules lourds > 3,5t",2,E-O,Voie de circulation générale,2021-02-23 00:00:00+00:00,2.341831,48.8714843,0,Tuesday,2021-02-23,Heavy Vehicles,2,75002
10029_1 -> 1,10029,CF0004_2 boulevard Montmartre (sens E-O),Autobus et autocars,5,E-O,Voie de circulation générale,2021-02-23 01:00:00+00:00,2.341831,48.8714843,1,Tuesday,2021-02-23,Buses,2,75002
