location,precision,arrondissement,format_1m2,format_2m2,longitude,latitude,arr_raw,arr_extracted,arrondissement_clean,total_panels,total_area
"11, rue Jean Rey",angle avenue de Suffren / rue Jean Rey,75015.0,0.0,1.0,2.291447,48.855395,75015.0,75015,15,1.0,2.0
"4, place du Cardinal Lavigerie",,75012.0,0.0,1.0,,,75012.0,75012,12,1.0,2.0
"82, rue Pernetty",,75014.0,0.0,1.0,2.315742,48.835399,75014.0,75014,14,1.0,2.0
9 rue Polonceau,angle rue Polonceau / rue Boris Vian,75018.0,0.0,1.0,2.353862,48.885396,75018.0,75018,18,1.0,2.0
53 allée Darius Milhaud,Ecole maternelle,75019.0,0.0,1.0,2.390867,48.88457,75019.0,75019,19,1.0,2.0
"293, rue des Pyrénées",,75020.0,0.0,1.0,2.394918,48.869368,75020.0,75020,20,1.0,2.0
"18, rue Faidherbe",,75011.0,0.0,1.0,2.383955,48.851602,75011.0,75011,11,1.0,2.0
"18, avenue de la prte Brancion",,75015.0,0.0,1.0,2.300413,48.826626,75015.0,75015,15,1.0,2.0
"2, rue Féssart",,75019.0,0.0,1.0,2.38915,48.876172,75019.0,75019,19,1.0,2.0
"5, rue Mouraud",Ecole élémentaire,75020.0,0.0,1.0,2.407777,48.854708,75020.0,75020,20,1.0,2.0
"25, rue de Rivoli",,75004.0,0.0,1.0,2.355152,48.856693,75004.0,75004,4,1.0,2.0
15 Rue Girardon,,75018.0,0.0,1.0,2.33782,48.888084,75018.0,75018,18,1.0,2.0
104-106 Rue Compans,Angle  rue du Général Brunet,75019.0,0.0,1.0,2.389772,48.880396,75019.0,75019,19,1.0,2.0
"24, rue de la Cour des Noues",,75020.0,1.0,0.0,2.401004,48.864378,75020.0,75020,20,1.0,1.0
"68, boulevard Poniatowski",,75012.0,0.0,1.0,2.399323,48.832161,75012.0,75012,12,1.0,2.0
"77, rue d Alésia",,75014.0,0.0,1.0,2.327953,48.82773,75014.0,75014,14,1.0,2.0
"9, rue des Alouettes",,75019.0,0.0,1.0,2.385354,48.877519,75019.0,75019,19,1.0,2.0
"7, rue Barbanègre","école élémentaire, Panneau A",75019.0,0.0,1.0,2.382858,48.892135,75019.0,75019,19,1.0,2.0
"17-19, rue Blomet",,75015.0,0.0,1.0,2.307197,48.843156,75015.0,75015,15,1.0,2.0
"42, rue de la Mare",,75020.0,1.0,0.0,2.389959,48.871094,75020.0,75020,20,1.0,1.0
"148, avenue Gambetta",,75020.0,0.0,1.0,2.406186,48.875389,75020.0,75020,20,1.0,2.0
"11, rue Valette",Creche,75005.0,1.0,0.0,2.3469160000000002,48.847557,75005.0,75005,5,1.0,1.0
"88, boulevard Bessière",,75017.0,0.0,1.0,2.319314,48.896536,75017.0,75017,17,1.0,2.0
"17, avenue Edison",,75013.0,0.0,1.0,2.3642849999999997,48.827738,75013.0,75013,13,1.0,2.0
"2, rue de la Guadeloupe",,75018.0,0.0,1.0,2.362625,48.890753,75018.0,75018,18,1.0,2.0
"36, rue Féssart",,75019.0,0.0,1.0,2.384217,48.876827,75019.0,75019,19,1.0,2.0
"5, place Paul Verlaine",,75013.0,0.0,1.0,2.352475,48.827428,75013.0,75013,13,1.0,2.0
"5, place Hebert",,75018.0,0.0,1.0,2.363213,48.893105,75018.0,75018,18,1.0,2.0
"26, rue Maryse Hilz",,75020.0,0.0,1.0,2.412878,48.852133,75020.0,75020,20,1.0,2.0
"46/48, rue du Rocher",,75008.0,0.0,1.0,2.320526,48.877866,75008.0,75008,8,1.0,2.0
"115, boulevard Charonne",,75011.0,0.0,1.0,2.393939,48.856591,75011.0,75011,11,1.0,2.0
"15, rue Guersant",,75017.0,0.0,1.0,2.290199,48.880565,75017.0,75017,17,1.0,2.0
"16, rue de l Atlas",,75019.0,0.0,1.0,2.376595,48.875505,75019.0,75019,19,1.0,2.0
"18, rue Maryse Hilsz",,75020.0,0.0,1.0,2.412835,48.850531,75020.0,75020,20,1.0,2.0
"19, rue de l'arbre sec",,75001.0,0.0,1.0,2.342026,48.859896,75001.0,75001,1,1.0,2.0
"4, rue Cler",,75007.0,0.0,1.0,2.305271,48.85878,75007.0,75007,7,1.0,2.0
"22, boulevard Poissonnière",Panneau A,75009.0,0.0,1.0,2.345109,48.871326,75009.0,75009,9,1.0,2.0
"142, rue des Poissonniers",,75018.0,0.0,1.0,2.352861,48.896602,75018.0,75018,18,1.0,2.0
"112, rue de Rennes",centre André Malraux,75006.0,1.0,0.0,2.327529,48.847869,75006.0,75006,6,1.0,1.0
"28, rue du Général Foy",Panneau A,75008.0,0.0,1.0,2.317688,48.878822,75008.0,75008,8,1.0,2.0
"45-59, rue de Romainville",Ecole maternelle Romainville,75019.0,0.0,1.0,2.403219,48.877377,75019.0,75019,19,1.0,2.0
square des Amandiers,passage Duris,75020.0,0.0,1.0,2.389248,48.86577,75020.0,75020,20,1.0,2.0
