latitude,longitude,location_type,arrondissement,commercial_score,format_1m2,format_2m2,traffic_count,zone_name,data_source
48.866346,2.393403,Civic Panel,75020.0,8.75,0.0,1.0,0,"25, rue de la Bidassoa",panels
48.852838,2.38079,Civic Panel,75011.0,5.5,0.0,1.0,0,"33, rue Saint Bernard",panels
48.839895,2.263832,Civic Panel,75016.0,3.4789356781958816,0.0,1.0,0,"185, avenue de Versailles",panels
48.87009,2.402914,Civic Panel,75020.0,8.75,1.0,0.0,0,"153, avenue Gambetta",panels
48.856862,2.411724,Civic Panel,75020.0,8.75,0.0,1.0,0,"36, rue des Docteurs Dejerine",panels
48.848913,2.401828,Civic Panel,75020.0,8.75,0.0,1.0,0,"19, rue de Lagny",panels
48.874437,2.362063,Civic Panel,75010.0,2.892664068221247,0.0,1.0,0,"Face au 8, rue des Recollets",panels
48.848901,2.378282,Civic Panel,75012.0,5.0,1.0,0.0,0,Place d'Aligre,panels
48.822231,2.351299,Civic Panel,75013.0,6.5,0.0,1.0,0,"8, rue Kuss",panels
48.832453,2.323515,Civic Panel,75014.0,7.863044227314029,0.0,1.0,0,"12, rue Severo",panels
48.875444,2.407428,Civic Panel,75020.0,8.75,0.0,1.0,0,"163, boulevard Mortier",panels
48.855933,2.407425,Civic Panel,75020.0,8.75,0.0,1.0,0,"91, rue des Orteaux",panels
48.830739,2.36599,Civic Panel,75013.0,6.5,0.0,1.0,0,"58, rue de Clisson",panels
48.853472,2.360729,Civic Panel,75004.0,23.747073309914683,1.0,0.0,0,"1-3, rue des Jardins Saint-Paul",panels
48.8459,2.323206,Civic Panel,75006.0,3.0091989242548376,1.0,0.0,0,"87, rue de Vaugirard",panels
48.898888,2.364393,Civic Panel,75018.0,5.696806078326992,0.0,1.0,0,"56, boulevard Ney",panels
48.883806,2.390199,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,"40, rue Manin",panels
48.839681,2.402816,Civic Panel,75012.0,5.0,0.0,1.0,0,"24, rue Louis Braille",panels
48.832514,2.367048,Civic Panel,75013.0,6.5,0.0,1.0,0,"61, rue Dunois",panels
48.837349,2.279298,Civic Panel,75015.0,4.073888089991745,0.0,1.0,0,"146, avenue Félix Faure",panels
48.886937,2.333966,Civic Panel,75018.0,5.696806078326992,0.0,1.0,0,"62, rue Lepic",panels
48.850003,2.400272,Civic Panel,75020.0,8.75,0.0,1.0,0,"9/11, rue de la Plaine",panels
48.880396,2.389772,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,"106, rue Compans",panels
48.822585,2.36113,Civic Panel,75013.0,6.5,0.0,1.0,0,"13, rue Caillaux",panels
48.882999,2.373478,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,"70, rue Armand Carrel",panels
48.853623,2.376853,Civic Panel,75011.0,5.5,0.0,1.0,0,"4, rue Keller",panels
48.877519,2.385354,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,"9, rue des Alouettes",panels
48.887206,2.387708,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,"156, avenue Jean Jaurès",panels
48.858908,2.352294,Civic Panel,75004.0,23.747073309914683,0.0,1.0,0,"14, rue du renard",panels
48.873349,2.318485,Civic Panel,75008.0,1.5,0.0,1.0,0,"16, rue de Roquepine",panels
48.83056,2.368114,Civic Panel,75013.0,6.5,0.0,1.0,0,"32, place Jeanne d'Arc",panels
48.870411,2.382195,Civic Panel,75020.0,8.75,1.0,0.0,0,"32, rue Pali Kao",panels
48.868252,2.338158,Civic Panel,75002.0,0.5,0.0,1.0,0,"71, rue de Richelieu",panels
48.851743,2.33594,Civic Panel,75006.0,3.0091989242548376,1.0,0.0,0,"12, rue Lobineau",panels
48.880402,2.376535,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,20 rue Edouard Pailleron,panels
48.856579,2.353831,Civic Panel,75004.0,23.747073309914683,0.0,1.0,0,"4, rue Lobau",panels
48.842548,2.361878,Civic Panel,75005.0,2.75,1.0,0.0,0,"15 bis, rue Buffon",panels
48.841614,2.348999,Civic Panel,75005.0,2.75,0.0,1.0,0,"1, rue Jean Calvin",panels
48.828016,2.325898,Civic Panel,75014.0,7.863044227314029,0.0,1.0,0,"93, rue d Alésia",panels
48.833421,2.32257,Civic Panel,75014.0,7.863044227314029,0.0,1.0,0,"55/61, rue Maurice Ripoche",panels
48.853969,2.289652,Civic Panel,75015.0,4.073888089991745,0.0,1.0,0,"11, boulevard de Grenelle",panels
48.866988,2.271846,Civic Panel,75016.0,3.4789356781958816,0.0,1.0,0,"32, boulevard des Maréchaux",panels
48.842585,2.349672,Civic Panel,75005.0,2.75,1.0,0.0,0,"74, rue Mouffetard",panels
48.820451,2.364644,Civic Panel,75013.0,6.5,0.0,1.0,0,"4bis, avenue de Choisy",panels
48.855983,2.273553,Civic Panel,75016.0,3.4789356781958816,0.0,1.0,0,"15, rue des Bauches",panels
48.855158,2.405215,Civic Panel,75020.0,8.75,0.0,1.0,0,"99, rue des Pyrénées",panels
48.834719,2.353257,Civic Panel,75013.0,6.5,0.0,1.0,0,"79, avenue des Gobelins",panels
48.893086,2.385131,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,"1, rue Rouvet",panels
48.858889,2.299853,Civic Panel,75007.0,1.5,0.0,1.0,0,"1, rue du Général Camou",panels
48.878822,2.317688,Civic Panel,75008.0,1.5,0.0,1.0,0,"28, rue du Général Foy",panels
48.846348,2.40334,Civic Panel,75012.0,5.0,1.0,0.0,0,16 rue de Marsoulan,panels
48.837122,2.402889,Civic Panel,75012.0,5.0,0.0,1.0,0,"253bis/253 ter, avenue Daumesnil",panels
48.822744,2.377618,Civic Panel,75013.0,6.5,0.0,1.0,0,"1, avenue Boutroux",panels
48.874518,2.389605,Civic Panel,75020.0,8.75,0.0,1.0,0,"4, rue Jourdain",panels
48.839807,2.357481,Civic Panel,75005.0,2.75,1.0,0.0,0,"39 bis, rue Poliveau",panels
48.824619,2.365472,Civic Panel,75013.0,6.5,0.0,1.0,0,"42, rue du Javelot",panels
48.85828,2.299265,Civic Panel,75007.0,1.5,0.0,1.0,0,"37, avenue de la Bourdonnais",panels
48.828027,2.29332,Civic Panel,75015.0,4.073888089991745,0.0,1.0,0,"13, rue du Général Guillaumat",panels
48.865292,2.344087,Civic Panel,75002.0,0.5,0.0,1.0,0,"3, rue de la  Jussienne",panels
48.822195,2.331066,Civic Panel,75014.0,7.863044227314029,0.0,1.0,0,"48, boulevard Jourdan",panels
48.842523,2.263925,Civic Panel,75016.0,3.4789356781958816,0.0,1.0,0,"64, rue Chardon Lagache",panels
48.864893,2.333822,Civic Panel,75001.0,3.367634075065204,0.0,1.0,0,"11, rue d Argenteuil",panels
48.870282,2.350113,Civic Panel,75010.0,2.892664068221247,0.0,1.0,0,"26, boulevard Bonne Nouvelle",panels
48.853745,2.393242,Civic Panel,75011.0,5.5,0.0,1.0,0,"39, rue Alexandre Dumas",panels
48.859847,2.38589,Civic Panel,75011.0,5.5,0.0,1.0,0,"14, rue Merlin",panels
