latitude,longitude,count,arrondissement,mode,heat_intensity
48.85431,2.34518,1,5.0,"Véhicules lourds > 3,5t",0.0008865248226950354
48.85431,2.34518,146,5.0,"Véhicules légers < 3,5t",0.12943262411347517
48.85431,2.34518,23,5.0,2 roues motorisées,0.020390070921985817
48.85431,2.34518,1,5.0,Trottinettes,0.0008865248226950354
48.85431,2.34518,37,5.0,van,0.03280141843971631
48.85431,2.34518,3,5.0,Trottinettes,0.0026595744680851063
48.85431,2.34518,117,5.0,Trottinettes + vélos,0.10372340425531915
48.85431,2.34518,12,5.0,"Véhicules lourds > 3,5t",0.010638297872340425
48.85431,2.34518,250,5.0,"Véhicules légers < 3,5t",0.22163120567375885
48.85431,2.34518,16,5.0,Trottinettes + vélos,0.014184397163120567
48.85431,2.34518,27,5.0,"Véhicules légers < 3,5t",0.023936170212765957
48.85431,2.34518,12,5.0,Trottinettes,0.010638297872340425
48.85431,2.34518,273,5.0,Trottinettes + vélos,0.24202127659574468
48.85431,2.34518,30,5.0,Autobus et autocars,0.026595744680851064
48.85431,2.34518,12,5.0,Trottinettes,0.010638297872340425
48.85431,2.34518,11,5.0,Trottinettes,0.00975177304964539
