location,precision,arrondissement,format_1m2,format_2m2,coordinates,geometry,arr_raw,arr_extracted,arrondissement_clean,total_panels,total_area,latitude,longitude
"45-59, rue de Romainville",Ecole maternelle Romainville,75019.0,0.0,1.0,"{'lon': 2.403219, 'lat': 48.877377}","{'lon': 2.403219, 'lat': 48.877377}",75019.0,75019,19,1.0,2.0,48.877377,2.403219
square des Amandiers,passage Duris,75020.0,0.0,1.0,"{'lon': 2.389248, 'lat': 48.86577}","{'lon': 2.389248, 'lat': 48.86577}",75020.0,75020,20,1.0,2.0,48.86577,2.389248
"30/40, rue Emeriau",,75015.0,0.0,1.0,"{'lon': 2.286149, 'lat': 48.849731}","{'lon': 2.286149, 'lat': 48.849731}",75015.0,75015,15,1.0,2.0,48.849731,2.286149
"4-8, rue Brunetiere",,75017.0,0.0,1.0,"{'lon': 2.30087, 'lat': 48.890317}","{'lon': 2.30087, 'lat': 48.890317}",75017.0,75017,17,1.0,2.0,48.890317,2.30087
"6, rue pommard",,75012.0,0.0,1.0,"{'lon': 2.384587, 'lat': 48.835968}","{'lon': 2.384587, 'lat': 48.835968}",75012.0,75012,12,1.0,2.0,48.835968,2.384587
"5bis, rue Eugène Oudine",,75013.0,0.0,1.0,"{'lon': 2.375676, 'lat': 48.825781}","{'lon': 2.375676, 'lat': 48.825781}",75013.0,75013,13,1.0,2.0,48.825781,2.375676
"7-29, rue Eugénie Cotton",Ecole élémentaire Lilas,75019.0,0.0,1.0,"{'lon': 2.394505, 'lat': 48.878594}","{'lon': 2.394505, 'lat': 48.878594}",75019.0,75019,19,1.0,2.0,48.878594,2.394505
"4, rue Mercoeur",,75011.0,0.0,1.0,"{'lon': 2.383143, 'lat': 48.856892}","{'lon': 2.383143, 'lat': 48.856892}",75011.0,75011,11,1.0,2.0,48.856892,2.383143
40 Jacques Hillairet,Ecole - à gauche de l'entrée,75012.0,1.0,0.0,"{'lon': 2.388838, 'lat': 48.843121}","{'lon': 2.388838, 'lat': 48.843121}",75012.0,75012,12,1.0,1.0,48.843121,2.388838
"22, rue Jean Leclaire",,75017.0,0.0,1.0,"{'lon': 2.327266, 'lat': 48.896619}","{'lon': 2.327266, 'lat': 48.896619}",75017.0,75017,17,1.0,2.0,48.896619,2.327266
"8, rue Jean Francois Lepine",,75018.0,0.0,1.0,"{'lon': 2.358258, 'lat': 48.886176}","{'lon': 2.358258, 'lat': 48.886176}",75018.0,75018,18,1.0,2.0,48.886176,2.358258
"12, rue René Binet",,75018.0,0.0,1.0,"{'lon': 2.342365, 'lat': 48.899487}","{'lon': 2.342365, 'lat': 48.899487}",75018.0,75018,18,1.0,2.0,48.899487,2.342365
"15, rue Sorbier",,75020.0,0.0,1.0,"{'lon': 2.392293, 'lat': 48.866319}","{'lon': 2.392293, 'lat': 48.866319}",75020.0,75020,20,1.0,2.0,48.866319,2.392293
"108, avenue Philippe Auguste",,75011.0,0.0,1.0,"{'lon': 2.390985, 'lat': 48.856704}","{'lon': 2.390985, 'lat': 48.856704}",75011.0,75011,11,1.0,2.0,48.856704,2.390985
"25, rue de la Bidassoa",,75020.0,0.0,1.0,"{'lon': 2.393403, 'lat': 48.866346}","{'lon': 2.393403, 'lat': 48.866346}",75020.0,75020,20,1.0,2.0,48.866346,2.393403
"33, rue Saint Bernard",,75011.0,0.0,1.0,"{'lon': 2.38079, 'lat': 48.852838}","{'lon': 2.38079, 'lat': 48.852838}",75011.0,75011,11,1.0,2.0,48.852838,2.38079
"185, avenue de Versailles",,75016.0,0.0,1.0,"{'lon': 2.263832, 'lat': 48.839895}","{'lon': 2.263832, 'lat': 48.839895}",75016.0,75016,16,1.0,2.0,48.839895,2.263832
"153, avenue Gambetta",,75020.0,1.0,0.0,"{'lon': 2.402914, 'lat': 48.87009}","{'lon': 2.402914, 'lat': 48.87009}",75020.0,75020,20,1.0,1.0,48.87009,2.402914
"36, rue des Docteurs Dejerine",,75020.0,0.0,1.0,"{'lon': 2.411724, 'lat': 48.856862}","{'lon': 2.411724, 'lat': 48.856862}",75020.0,75020,20,1.0,2.0,48.856862,2.411724
"19, rue de Lagny",,75020.0,0.0,1.0,"{'lon': 2.401828, 'lat': 48.848913}","{'lon': 2.401828, 'lat': 48.848913}",75020.0,75020,20,1.0,2.0,48.848913,2.401828
"Face au 8, rue des Recollets",Face au 8,75010.0,0.0,1.0,"{'lon': 2.362063, 'lat': 48.874437}","{'lon': 2.362063, 'lat': 48.874437}",75010.0,75010,10,1.0,2.0,48.874437,2.362063
