counter_name,installation_date,count_datetime,hourly_count,coordinates,month_year,id_compteur,counter,name,id,arrondissement,year,month,day,hour,weekday,arrondissement_clean,latitude,longitude,is_rush_hour,is_weekend
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-09 21:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,9,21,Thursday,10,48.83507,2.33305,False,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-10 09:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,10,9,Friday,10,48.83507,2.33305,True,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-10 13:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,10,13,Friday,10,48.83507,2.33305,False,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-10 14:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,10,14,Friday,10,48.83507,2.33305,False,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-10 18:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,10,18,Friday,10,48.83507,2.33305,True,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-10 19:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,10,19,Friday,10,48.83507,2.33305,True,False
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-11 00:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,11,0,Saturday,10,48.83507,2.33305,False,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-11 03:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,11,3,Saturday,10,48.83507,2.33305,False,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-11 10:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,11,10,Saturday,10,48.83507,2.33305,False,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-11 12:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,11,12,Saturday,10,48.83507,2.33305,False,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-11 22:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,11,22,Saturday,10,48.83507,2.33305,False,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-11 23:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,11,23,Saturday,10,48.83507,2.33305,False,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-12 06:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,12,6,Sunday,10,48.83507,2.33305,False,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-12 08:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,12,8,Sunday,10,48.83507,2.33305,True,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-12 09:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,12,9,Sunday,10,48.83507,2.33305,True,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-12 11:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,12,11,Sunday,10,48.83507,2.33305,False,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-12 15:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,12,15,Sunday,10,48.83507,2.33305,False,True
106 avenue Denfert Rochereau NE-SO,2012-02-22,2024-05-12 18:00:00+00:00,0,"{'lon': 2.33305, 'lat': 48.83507}",2024-05,100003098-101003098,Y2H20114504,106 avenue Denfert Rochereau,100003098,10,2024,5,12,18,Sunday,10,48.83507,2.33305,True,True
